,Stress
53,15.0
151,12.0
403,6.0
894,10.0
207,10.0
800,9.0
723,10.0
8,11.0
765,8.0
36,14.0
452,6.0
651,8.0
253,9.0
303,8.0
707,10.0
571,10.0
623,11.0
673,7.0
697,7.0
262,7.0
610,10.0
297,6.0
414,12.0
150,12.0
862,9.0
640,8.0
841,9.0
550,10.0
751,8.0
488,8.0
147,12.0
146,7.0
684,10.0
880,8.0
846,6.0
659,11.0
348,9.0
463,7.0
325,9.0
186,9.0
123,8.0
808,11.0
608,9.0
143,7.0
907,8.0
197,9.0
609,10.0
279,6.0
293,6.0
400,6.0
122,8.0
183,16.0
202,10.0
438,6.0
246,12.0
415,12.0
848,10.0
857,9.0
889,11.0
129,14.0
637,8.0
402,6.0
744,8.0
731,11.0
864,10.0
219,9.0
641,8.0
866,10.0
713,8.0
764,8.0
869,10.0
624,11.0
795,9.0
721,10.0
386,7.0
920,12.0
509,7.0
267,7.0
777,6.0
441,6.0
496,7.0
112,13.0
691,13.0
232,9.0
824,6.0
607,9.0
671,7.0
373,6.0
929,10.0
799,9.0
233,9.0
745,8.0
676,10.0
317,8.0
648,8.0
410,12.0
850,10.0
709,8.0
358,7.0
258,9.0
627,11.0
632,8.0
282,6.0
376,10.0
384,7.0
224,10.0
902,10.0
814,6.0
472,7.0
347,7.0
505,7.0
639,8.0
935,10.0
878,8.0
911,8.0
619,9.0
810,11.0
645,8.0
802,7.0
556,10.0
906,8.0
577,10.0
85,21.0
242,12.0
698,7.0
159,11.0
524,9.0
35,14.0
540,7.0
170,15.0
654,11.0
842,9.0
830,6.0
803,7.0
893,10.0
733,11.0
95,8.0
563,10.0
240,10.0
742,10.0
574,10.0
690,13.0
460,7.0
553,10.0
896,10.0
206,10.0
392,6.0
397,6.0
766,8.0
804,7.0
217,9.0
4,11.0
768,8.0
642,8.0
849,10.0
612,10.0
738,10.0
546,8.0
725,10.0
683,10.0
98,8.0
727,10.0
573,10.0
406,6.0
502,6.0
47,21.0
32,14.0
779,8.0
200,9.0
134,13.0
27,12.0
833,6.0
230,10.0
489,8.0
772,9.0
378,10.0
288,6.0
418,6.0
674,10.0
391,6.0
592,10.0
498,6.0
138,13.0
62,6.0
471,8.0
647,8.0
128,14.0
924,12.0
520,7.0
64,6.0
812,11.0
14,12.0
156,11.0
40,21.0
492,7.0
379,10.0
187,9.0
763,8.0
216,9.0
791,6.0
52,15.0
337,7.0
748,8.0
719,10.0
724,10.0
295,6.0
701,7.0
251,9.0
726,10.0
461,7.0
455,6.0
944,10.0
815,6.0
269,7.0
201,9.0
161,11.0
555,10.0
729,10.0
401,6.0
702,10.0
476,7.0
821,6.0
771,9.0
105,6.0
565,9.0
389,6.0
1,11.0
886,11.0
561,10.0
80,21.0
205,10.0
34,14.0
775,6.0
508,7.0
427,6.0
454,6.0
366,6.0
91,14.0
339,7.0
564,9.0
345,7.0
776,6.0
241,10.0
13,12.0
315,8.0
600,10.0
387,7.0
273,6.0
166,15.0
840,9.0
940,10.0
646,8.0
818,6.0
484,8.0
928,10.0
504,7.0
831,6.0
243,12.0
566,9.0
875,8.0
562,10.0
686,10.0
189,9.0
782,6.0
699,7.0
475,7.0
681,10.0
510,11.0
58,6.0
474,7.0
560,10.0
856,9.0
747,8.0
252,9.0
21,12.0
313,8.0
459,7.0
160,11.0
276,6.0
191,9.0
385,7.0
805,7.0
413,12.0
491,7.0
343,7.0
769,9.0
308,6.0
661,9.0
130,14.0
663,9.0
871,10.0
99,8.0
372,6.0
87,14.0
458,6.0
330,6.0
214,9.0
466,8.0
121,8.0
614,10.0
20,12.0
700,7.0
71,7.0
106,6.0
270,6.0
860,9.0
435,6.0
102,6.0
589,10.0
933,10.0
139,13.0
86,14.0
39,21.0
743,10.0
165,15.0
96,8.0
198,9.0
250,12.0
513,11.0
23,12.0
312,8.0
30,14.0
332,6.0
292,6.0
904,8.0
70,7.0
617,9.0
495,7.0
599,10.0
643,8.0
899,10.0
120,8.0
703,10.0
280,6.0
527,9.0
591,10.0
792,6.0
453,6.0
377,10.0
247,12.0
63,6.0
168,15.0
851,10.0
754,8.0
662,9.0
208,9.0
136,13.0
616,9.0
827,6.0
500,6.0
67,7.0
327,6.0
675,10.0
294,6.0
449,6.0
672,7.0
59,6.0
265,7.0
884,11.0
457,6.0
943,10.0
209,9.0
365,6.0
464,7.0
793,6.0
260,9.0
388,6.0
363,6.0
680,10.0
784,6.0
892,10.0
778,6.0
465,8.0
569,9.0
685,10.0
559,10.0
331,6.0
76,7.0
215,9.0
817,6.0
837,9.0
770,9.0
259,9.0
275,6.0
88,14.0
439,6.0
518,7.0
478,6.0
644,8.0
519,7.0
394,6.0
333,6.0
298,8.0
107,13.0
921,12.0
218,9.0
541,7.0
481,6.0
310,6.0
909,8.0
72,7.0
554,10.0
44,21.0
605,9.0
572,10.0
594,10.0
822,6.0
302,8.0
433,6.0
836,9.0
328,6.0
296,6.0
314,8.0
261,7.0
660,9.0
576,10.0
789,6.0
423,6.0
897,10.0
326,9.0
890,10.0
307,6.0
785,6.0
60,6.0
158,11.0
493,7.0
695,7.0
342,7.0
174,8.0
615,10.0
66,6.0
482,6.0
231,9.0
570,9.0
606,9.0
371,6.0
266,7.0
213,9.0
311,6.0
286,6.0
110,13.0
507,7.0
430,6.0
872,10.0
483,6.0
442,6.0
722,10.0
796,9.0
405,6.0
820,6.0
334,7.0
137,13.0
316,8.0
946,10.0
925,12.0
710,8.0
873,8.0
525,9.0
867,10.0
254,9.0
361,7.0
309,6.0
78,21.0
912,7.0
625,11.0
210,9.0
447,6.0
901,10.0
531,7.0
773,6.0
65,6.0
141,7.0
192,9.0
381,10.0
235,9.0
630,8.0
730,11.0
352,9.0
926,12.0
852,10.0
853,10.0
49,15.0
781,6.0
199,9.0
602,9.0
855,9.0
861,9.0
306,6.0
942,10.0
428,6.0
545,8.0
33,14.0
31,14.0
708,10.0
736,11.0
905,8.0
543,8.0
887,11.0
